common_name,description,folklore,link,medicinal_uses,origins,properties,tags
"How to Use: 
	Kukui Nut Oil  "," Kukui oil is expeller expressed from the nuts, and is light yellow with an amber tint.  The oil penetrates skin deeply to hydrate and soften and is used as an , in , Kukui oil is used to treat a variety of skin ailments such as , ,and , Kukui is an excellent botanical source of fatty acids and antioxidants, as well as Vitamins A,C and E.","
	
	
	",<200 https://www.anniesremedy.com/aleurites-moluccanus-kukui-oil.php>,"* Acne ,* Burns,* Eczema,* Hair,* Polynesian,* Psoriasis","
,
, 
 ,Tropical islands","* Emollient,* Skin tonic","* Acne ,* Burns,* Eczema,* Hair,* Polynesian,* Psoriasis"
"How to Use: 
	Lovage ",,"
	
	
	A member of the same family as dill, angelica, and parsley, the botanical name, Levisticum can be translated ""from Liguria"". The Romans brought lovage from the Ligurian coast of Italy to Britain. Lovage came to America with the English colonists and was brought over for both food and medicine.  ",<200 https://www.anniesremedy.com/levisticum-officinale-lovage.php>,"* Aromatherapy,* Culinary/Kitchen",North America,"* Antispasmodic,* Aromatic,* Carminative,* Diaphoretic,* Diuretic,* Emmenagogue,* Nervine","* Aromatherapy,* Culinary/Kitchen"
"How to Use: 
	Myrtle ","The leaves of the myrtle tree are very aromatic and the plant has a number of medicinal uses.  In traditional herbal medicine myrtle has been taken internally for urinary infections, digestive problems, bronchial congestion, and dry coughs. In Ayurveda  it is seen as a treatment for cerebral infections, most notably epilepsy. Myrtle  has also been used at various times as an astringent, an antiseptic and a decongestant. ","
	
	
	 The ancient Egyptians used to crush the leaves and add them to wine to treat fever and infection. Dioscorides used the same recipe for stomach, bladder and pulmonary infections. Myrtle was first introduced into Britain in 1597, and was used in the nineteenth century for bronchial infections, genitourinary problems, and hemorrhoids.
",<200 https://www.anniesremedy.com/myrtus-communis-myrtle.php>,"* Aromatherapy,* Bronchitis",,"* Antibacterial,* Antirheumatic,* AntiViral,* Aromatic,* Astringent,* Astringent,* Calm,* Carminative,* Cordial,* Rubefacient,* Stimulant,* Stomachic","* Aromatherapy,* Bronchitis"
"How to Use: 
	Nutmeg ",,"
	
	
	 ",<200 https://www.anniesremedy.com/myristica-fragrans-nutmeg.php>,"* Aromatherapy,* Culinary/Kitchen,* Nerve/Back Pain",,"* Abortifacient,* Analgesic,* Anodyne,* Aromatic,* Astringent,* Calm,* Digestive,* Muscle Relaxant,* Psychedelic,* Stimulant","* Aromatherapy,* Culinary/Kitchen,* Nerve/Back Pain"
"How to Use: 
	Oxeye Daisy ","
 						","
	
	
	 ",<200 https://www.anniesremedy.com/chrysanthemum-leucanthemum-oxeye-daisy.php>,,,* Midsummer,
"How to Use: 
	Pygeum ","Regional Traditions :, * 
,
 						","
	
	
	 ",<200 https://www.anniesremedy.com/prunus-africanum-pygeum.php>,"* African,* Libido,* Prostate",African,,"* African,* Libido,* Prostate,combined with saw palmetto"
"How to Use: 
	Quassia ","Quassia Bark extract is said to be many times more bitter than quinine, and can be  used as a substitute in many medications that would normally contain quinine. Quassia Bark is used as as a febrifuge  by the traditional healers of Brazil for malaria fevers. The bitter bark also acts as a , an insecticide, and is used to treat liver and gallbladder problems., Quassia is becoming more well-known by herbalists in North America and is considered one of the best stomach bitters.  It is especially useful for cases of lack of appetite such as anorexia nervosa and digestive sluggishness. ","
	
	
	 ",<200 https://www.anniesremedy.com/quassia-amara.php>,* South_American,Central and South America,"* Bitter,* Digestive,* emetic,* Febrifuge,* Insect repellents,* Vermifuge",* South_American
"How to Use: 
	Pumpkin Seed ","Pumpkin seeds and pumpkin seed oil have been used since the time of the Greeks
for healing damaged skin including ,. Pumpkin seed oil is best used cold for salad and vegetable dressings,
heat destroys it's healthy properties. The oil is a , of vitamins
and minerals and well as both ,. The addition of
these fatty acids to the diet has been found to increase energy, 
, and overall vitality.,Traditional uses of pumpkin seeds include  treating ,, ,
While it is less reliable than the more toxic remedies such as male fern ( ,) and ,, it has the great advantage of being entirely safe. , Pumpkin seeds are a , snack. 
  A quarter cup of pumpkin seeds contains nearly half of the recommended daily amount of magnesium that is essential for your heart.  Having your pumpkin seed snack a few hours before bed will help you get a good nights ,. The seeds contain the ammino acid tryptophan, the same stuff that makes Thanksgiving turkey such a stupor inducing meal. Pumpkin seeds are also a good source of zinc, which boots the production of your serotonin levels and  promote a restful night's sleep.
Round out your night time snack with a small piece of fruit, or mix pumpkin seed powder in applesauce to accelerate the tryptophan levels available to the brain. , ,Pumpkin seed may be best known for addressing , The seeds contain a heavy concentration of phytochemicals called cucubitacins that are being studied in  benign prostate enlargement. , While the exact mechanism is not fully understood, The results suggest that the mechanism of efficacy was mainly based on influencing the smooth bladder and prostate muscles. Drugs widely available in Europe for treatment of BPH contain extracts of 
both , and , and are considered safe and effective.","
	
	
	The name pumpkin originated from the Greek word ""pepon"". The origins are not known, but the pumpkin seeds dating back to before 5000 B.C. were found in Mexico. ",<200 https://www.anniesremedy.com/cucurbita-pepo-pumpkin-seed.php>,"* Bladder Infection (UTI),* Culinary/Kitchen,* Kidney,* Parasites/worms,* Prostate,* Sleep/Insomnia,* Thanksgiving Harvest",,"* Antiparasite,* Demulcent,* EFA,* Febrifuge,* Nervine,* Vermifuge","* Bladder Infection (UTI),* Culinary/Kitchen,* Kidney,* Parasites/worms,* Prostate,* Sleep/Insomnia,* Thanksgiving Harvest,burns
and wounds,nutritious source,mental focus,parasites and worms,bladder infections,heart healthy,sleep,prostate problems."
"How to Use: 
	Psyllium ","The seeds of the , contain copious amounts of mucilage that are able to treat  ,, , and act as a safe and effective , aid. Psyllium seed can be used to treat: “Chronic constipation; disorders in which easy bowel movements with a loose stool are desirable, e.g., in patients with anal fissures, hemorrhoids, following anal/rectal surgery; during pregnancy; as a secondary medication in the treatment of various kinds of diarrhea and in the treatment of irritable bowel.”,Credit mother nature for devising a substance that can treat both constipation and diarrhea. The seeds soak up fluids, adding bulk to the stool and inhibiting diarrhea. The same absorption of fluids softens the stool, and the larger volume helps pass it through the colon. This easier action makes this herb a good choice for those suffering from ,,  , or diverticulitis.  By bulking the stool, the seeds also relieve pain caused by ulcerative  ,. Unless you have a desire for sugar, artificial flavors and higher prices, try natural psyllium before turning to one of the name brand products such as Metamucil or Fiberall, or any number of commercial laxatives.","
	
	
	 ",<200 https://www.anniesremedy.com/plantago-psyllium-ovata.php>,"* Cholesterol,* Constipation,* Diet/weight Loss",,"* Anodyne,* Antitussive,* Appetite Depressant,* Astringent,* Demulcent,* Laxative","* Cholesterol,* Constipation,* Diet/weight Loss,diarrhea,constipation,weight loss,cholesterol,hemorrhoids,inflammatory bowel disease,colitis"
"How to Use: 
	Prickly Pear ","Regional Traditions :, * 
, * 
,
 						","
	
	
	 Prickly pear was widely used as long as 6,000 years ago by Native Americans  particularly in Northern Mexico and Arizona areas. ",<200 https://www.anniesremedy.com/opuntia-ficus-indica-prickly-pear.php>,"* Diabetes,* Diet/weight Loss,* South_American","
,
, 
 ,Central and South America,North America",* Appetite Depressant,"* Diabetes,* Diet/weight Loss,* South_American,diabetes,obesity"
"How to Use: 
	Prickly Ash ",,"
	
	
	The use of prickly ash comes down to us from antiquity, the Chinese recorded its use about 1350 in the ",<200 https://www.anniesremedy.com/zanthoxylum-prickly-ash.php>,"* Nausea,* Parasites/worms","
,
, 
 ","* Anodyne,* Digestive,* Vermifuge","* Nausea,* Parasites/worms"
"How to Use: 
	Red Poppy Flowers ","Red poppies have some traditional medicinal uses as a , mild sedative and ,, though not nearly  as potent as the related opium poppy, ,. These traditional uses have little or no documentation, so  do 
not depend on red poppies as a primary therapeutic agent. Still the dried flowers brighten any herbal tea mixture, and adding them seems to have a soothing effect. ,
","
	
	
	The corn poppy has become a cultural icon to military veterans, and has become associated with wartime remembrance of the bloody battles on the Western front in World War I. ",<200 https://www.anniesremedy.com/papaver-rhoeas-red-poppy-flowers.php>,"* Cough,* Sleep/Insomnia",Middle East,"* Anodyne,* Demulcent,* Sedative","* Cough,* Sleep/Insomnia"
"How to Use: 
	Pomegranate ","The source of the many health benefits of pomegranates is found inside the
  juicy arils, in a small white seed that contains punicic acid. The punicic
  acid found in pomegranates is an especially powerful form of CLA, which has
  been shown to be beneficial in the fight against ,,,, ,
  and ,. , Ongoing studies of action and the use of pomegranate  seem promising enough to suggest that men who add pomegranate juice to their daily diet may lower their risk of BPH, and prostate cancer.
,With
  all the healthy benefits of pomegranates, it is no wonder that health food
  marketers have gotten in trouble 
  with the FDA for making some rather extravagant claims about the benefits
  of pomegranate products. , In addition to being
  very pricey, these products also contain added sugar, and other ""natural flavors"",
  and so are not pure, 100% pomegranate juice. Still, with all the FDA needs
  to be concerning themselves with, you would think the consumption of a healthy
  fruit drink would be at the bottom of the list of things to protect the public
  from.   There seems to be no downside other than cost in adding
  pomegranate juice to your daily diet. 
,   Pomegranate seed oil is a valued ingredient in ,, and is especially good for dry, devitalized skin. Pomegranate
    oil aids in moisturizing skin, preventing and reducing the appearance of ,. Those
    with skin conditions including dry skin, ,, , will benefit from
    using pomegranate oil. , for skin may well have extended
    benefits beyond it's moisturizing and anti-aging properties. The tannin in
    the oil can also help decrease the chances of skin cancer according to some
    sources. , ","
	
	
	Pomegranates are an ancient food and medicine,",<200 https://www.anniesremedy.com/punica-granatum-pomegranate.php>,"* Burns,* Cancer Prevention,* Cardiovascular,* Diarrhea,* Diet/weight Loss,* Facial Care,* Immune,* Menorrhagia,* Nutrition,* Parasites/worms,* Prostate,* Psoriasis,* Skin Care,* Wrinkles","
,
, 
 ,Middle East","* AntiViral,* Appetite Depressant,* Astringent,* Immunostimulant,* Skin tonic,* Stomachic,* Vermifuge","* Burns,* Cancer Prevention,* Cardiovascular,* Diarrhea,* Diet/weight Loss,* Facial Care,* Immune,* Menorrhagia,* Nutrition,* Parasites/worms,* Prostate,* Psoriasis,* Skin Care,* Wrinkles,cancer, obesity,diabetes,heart disease,skin
    care oils,wrinkles,eczema,psoriasis"
"How to Use: 
	Poke Root ","Pokeroot use is rooted in the folklore of the Amercian Indian and early settlers and is a staple of poor country folk in the South. This does not mean that poke root is a safe herb, it is most certainly not for the amateur herbalist.  Use of pokeroot to treat serious conditions such as lymphedema, testicular inflammation, ovarian pain, or as an alterative for,, should be medically supervised. External use of the tincture for skin conditions should be only be attempted by those who are very knowledgeable in the use of herbal medicine. ","
	
	
	",<200 https://www.anniesremedy.com/phytolacca-americana-poke-root.php>,"* Cancer Prevention,* Colds,* Flu,* Psoriasis,* Scabies,* Sore Throat",North America,"* Antibacterial,* Antirheumatic,* Immunostimulant,* Purgative,* Skin tonic,* Vulnerary","* Cancer Prevention,* Colds,* Flu,* Psoriasis,* Scabies,* Sore Throat, cancer"
"How to Use: 
	Plantain ",,"
	
	
	The American Indian used the abundant plant as the chief remedy for the bite of the rattlesnake, and called it ""snakeweed"" after this use.  ",<200 https://www.anniesremedy.com/plantago-major-lanceolata-plantain.php>,"* Burns,* Cuts & Wounds,* Insect/flea Bites,* Sore Throat","
,
, 
 ","* Anodyne,* Astringent,* Depurative,* Diuretic,* Refrigerant,* Refrigerant,* Styptic,* Vulnerary","* Burns,* Cuts & Wounds,* Insect/flea Bites,* Sore Throat"
"How to Use: 
	Pine ","Pine has a long history of use as a pain reliever in ,, ,.
 Pine needle  oil  is used as a component in cough and , medicines, vaporizer fluids, nasal ,, and analgesic ointments. Pine is combined with , and , oils for acute cold and nasal inflammation in Germany., In Switzerland, mattresses are filled with pine needles for treating ,ailments such as arthritis and,. When added to massage oils or used in baths pine oil is very effective in treating pain and promotes circulation to swollen joints and limbs.,The pinolenic acid contained in pine nut oil can help curb appetite, and is marketed as a , supplement under the trade name Pinno Thin©","
	
	
	Hippocrates used pine to treat pulmonary problems and Pliny recommended it for respiratory conditions. The Romans used pine nuts for food, and the trees were used for sailing masts.
",<200 https://www.anniesremedy.com/pinus-sylvestris-pine.php>,"* Aromatherapy,* Arthritis,* Christmas,* Circulation,* Colds,* Congestion,* Gout,* Herbal Steam,* Pain Relief,* Rheumatoid_arthritis","Grive, M.,634","* Analgesic,* Anodyne,* Antibacterial,* Appetite Depressant,* Aromatic,* Depurative,* Energize,* Mental Clarity,* Mood,* Refresh","* Aromatherapy,* Arthritis,* Christmas,* Circulation,* Colds,* Congestion,* Gout,* Herbal Steam,* Pain Relief,* Rheumatoid_arthritis,arthritis,aches, pains and sore muscles,cold,decongestants,rheumatic , gout,weight loss"
"How to Use: 
	Petitgrain ",,"
	
	
	 ",<200 https://www.anniesremedy.com/citrus-brigarade-petitgrain-oil.php>,,,"* Anxiety,* Calm,* Mental Clarity,* Vulnerary",
"How to Use: 
	Periwinkle ","The leaves, and seeds of the periwinkle contain vincamine, a precursor to the chemical vinpocetine, which is used medicinally to naturally , in aging minds., Vincamine is sold as a chemical extract in supplement form, however herbalists prefer the whole herb be used in either extract or tea form. By using the whole herb you receive the balanced blend of healing chemicals found naturally occurring in the plant. Other folk medicine uses include ,, cough medicine, and as a styptic to stop bleeding.
","
	
	
	Periwinkle has been used in the tradition medicine of many cultures and peoples worldwide including Europe, China, India and the Pacific and Caribbean Islands.  ",<200 https://www.anniesremedy.com/vinca-minor-periwinkle.php>,"* Diarrhea,* Hypertension,* Memory/Focus,* Menorrhagia","
,
, 
 ,European","* Antibacterial,* Antispasmodic,* Carminative,* Coagulant/Hemostatic,* Depurative,* Diuretic,* emetic,* Sedative","* Diarrhea,* Hypertension,* Memory/Focus,* Menorrhagia,enhance memory,Diabetes"
"How to Use: 
	White Peony ",,"
	
	
	 ",<200 https://www.anniesremedy.com/paeonia-albiflora-white-peony-root.php>,"* Chinese,* Colds,* Cuts & Wounds,* Headache/Migraine",Traditional Chinese Medicine,"* Analgesic,* Anodyne,* Anti-inflammatory,* Antispasmodic,* Depurative,* Emmenagogue,* Febrifuge,* Vulnerary","* Chinese,* Colds,* Cuts & Wounds,* Headache/Migraine"
"How to Use: 
	PennyRoyal ",,"
	
	
	Pennyroyal was in high repute among the Ancients. Both Pliny and Dioscorides described its numerous virtues. In Northern Europe it was also much esteemed, as may be inferred from the frequent references to it in the Anglo-Saxon and Welsh works on medicine.
",<200 https://www.anniesremedy.com/mentha-pulegium-pennyroyal.php>,"* Amenorrhea,* Insect Repellent",,"* Abortifacient,* Antioxidant,* Aromatic","* Amenorrhea,* Insect Repellent"
"How to Use: 
	Pau d’arco ","
	
 
, 
 , The Mayans and Incas of South America regarded Pau d’arco as an important healing herb, but the scientific study is still very preliminary; the bottom line is that pau d'arco seems to be more promising for fungal infections than malignant , There is a great deal of practical evidence, however, that Pau d’arco can be used with success to treat colds, flu, sore throat, and ,. Laboratory evidence suggests that the herb contains compounds that protect against tropical diseases, specifically malaria, schistosomiasis, and tropical fevers. The herb is added to ointments to treat  ,, and taken orally to relieve ,. ","
	
	
	In the Portuguese spoken in Brazil, pau d'arco translates as ""low tree"". The inner bark  is dried, shredded, and then boiled, making a bitter brownish-colored tea referred to as Lapacho or Taheebo. Pau d'arco is a key ingredient in the tribal medicine in the Amazon rainforest. ",<200 https://www.anniesremedy.com/tabebuia-spp-pau-d-arco.php>,"* Candida/yeast,* Liver",,"* Antifungal,* AntiViral,* Hepatic,* Tonic","* Candida/yeast,* Liver,cancers.,yeast infections,psoriasis, ulcers"
"How to Use: 
	Patchouli ",,"
	
	
	Once used to distinguish imports from India patchouli also helped to repel insects from cloth fabrics. Popular in the fashions of Europe in the mid 1800's, and in counter culture in America's turbulent 1960s. ",<200 https://www.anniesremedy.com/pogostemon-patchouli-patchouli.php>,"* Aromatherapy,* Cellulite,* Deodorants/Perfumes,* Facial Care,* Insect Repellent",,"* Anodyne,* Antidepressant,* Antifungal,* Aphrodisiac,* Aromatic,* Astringent,* Cicatrisant,* Insect repellents,* Mood,* Sedative","* Aromatherapy,* Cellulite,* Deodorants/Perfumes,* Facial Care,* Insect Repellent"
