common_name,description,folklore,link,medicinal_uses,origins,properties,tags
kukui nut oil  ," kukui oil is expeller expressed from the nuts, and is light yellow with an amber tint.  the oil penetrates skin deeply to hydrate and soften and is used as an , in , kukui oil is used to treat a variety of skin ailments such as , ,and , kukui is an excellent botanical source of fatty acids and antioxidants, as well as vitamins a,c and e.",,aleurites moluccanus kukui oil," Acne , Burns, Eczema, Hair, Polynesian, Psoriasis",",,  ,Tropical islands"," Emollient, Skin tonic"," acne , burns, eczema, hair, polynesian, psoriasis"
lovage ,,"a member of the same family as dill, angelica, and parsley, the botanical name, levisticum can be translated ""from liguria"". the romans brought lovage from the ligurian coast of italy to britain. lovage came to america with the english colonists and was brought over for both food and medicine.  ",levisticum officinale lovage," Aromatherapy, Culinary/Kitchen",North America," Antispasmodic, Aromatic, Carminative, Diaphoretic, Diuretic, Emmenagogue, Nervine"," aromatherapy, culinary/kitchen"
myrtle ,"the leaves of the myrtle tree are very aromatic and the plant has a number of medicinal uses.  in traditional herbal medicine myrtle has been taken internally for urinary infections, digestive problems, bronchial congestion, and dry coughs. in ayurveda  it is seen as a treatment for cerebral infections, most notably epilepsy. myrtle  has also been used at various times as an astringent, an antiseptic and a decongestant. "," the ancient egyptians used to crush the leaves and add them to wine to treat fever and infection. dioscorides used the same recipe for stomach, bladder and pulmonary infections. myrtle was first introduced into britain in 1597, and was used in the nineteenth century for bronchial infections, genitourinary problems, and hemorrhoids.",myrtus communis myrtle," Aromatherapy, Bronchitis",," Antibacterial, Antirheumatic, AntiViral, Aromatic, Astringent, Astringent, Calm, Carminative, Cordial, Rubefacient, Stimulant, Stomachic"," aromatherapy, bronchitis"
nutmeg ,, ,myristica fragrans nutmeg," Aromatherapy, Culinary/Kitchen, Nerve/Back Pain",," Abortifacient, Analgesic, Anodyne, Aromatic, Astringent, Calm, Digestive, Muscle Relaxant, Psychedelic, Stimulant"," aromatherapy, culinary/kitchen, nerve/back pain"
oxeye daisy , , ,chrysanthemum leucanthemum oxeye daisy,,, Midsummer,
pygeum ," :, * , ", ,prunus africanum pygeum," African, Libido, Prostate",African,," african, libido, prostate,combined with saw palmetto"
quassia ,"quassia bark extract is said to be many times more bitter than quinine, and can be  used as a substitute in many medications that would normally contain quinine. quassia bark is used as as a febrifuge  by the traditional healers of brazil for malaria fevers. the bitter bark also acts as a , an insecticide, and is used to treat liver and gallbladder problems., quassia is becoming more well-known by herbalists in north america and is considered one of the best stomach bitters.  it is especially useful for cases of lack of appetite such as anorexia nervosa and digestive sluggishness. ", ,quassia amara, South_American,Central and South America," Bitter, Digestive, emetic, Febrifuge, Insect repellents, Vermifuge", south_american
pumpkin seed ,"pumpkin seeds and pumpkin seed oil have been used since the time of the greeksfor healing damaged skin including ,. pumpkin seed oil is best used cold for salad and vegetable dressings,heat destroys it's healthy properties. the oil is a , of vitaminsand minerals and well as both ,. the addition ofthese fatty acids to the diet has been found to increase energy, , and overall vitality.,traditional uses of pumpkin seeds include  treating ,, ,while it is less reliable than the more toxic remedies such as male fern ( ,) and ,, it has the great advantage of being entirely safe. , pumpkin seeds are a , snack.   a quarter cup of pumpkin seeds contains nearly half of the recommended daily amount of magnesium that is essential for your heart.  having your pumpkin seed snack a few hours before bed will help you get a good nights ,. the seeds contain the ammino acid tryptophan, the same stuff that makes thanksgiving turkey such a stupor inducing meal. pumpkin seeds are also a good source of zinc, which boots the production of your serotonin levels and  promote a restful night's sleep.round out your night time snack with a small piece of fruit, or mix pumpkin seed powder in applesauce to accelerate the tryptophan levels available to the brain. , ,pumpkin seed may be best known for addressing , the seeds contain a heavy concentration of phytochemicals called cucubitacins that are being studied in  benign prostate enlargement. , while the exact mechanism is not fully understood, the results suggest that the mechanism of efficacy was mainly based on influencing the smooth bladder and prostate muscles. drugs widely available in europe for treatment of bph contain extracts of both , and , and are considered safe and effective.","the name pumpkin originated from the greek word ""pepon"". the origins are not known, but the pumpkin seeds dating back to before 5000 b.c. were found in mexico. ",cucurbita pepo pumpkin seed," Bladder Infection (UTI), Culinary/Kitchen, Kidney, Parasites/worms, Prostate, Sleep/Insomnia, Thanksgiving Harvest",," Antiparasite, Demulcent, EFA, Febrifuge, Nervine, Vermifuge"," bladder infection (uti), culinary/kitchen, kidney, parasites/worms, prostate, sleep/insomnia, thanksgiving harvest,burns
and wounds,nutritious source,mental focus,parasites and worms,bladder infections,heart healthy,sleep,prostate problems."
psyllium ,"the seeds of the , contain copious amounts of mucilage that are able to treat  ,, , and act as a safe and effective , aid. psyllium seed can be used to treat: “chronic constipation; disorders in which easy bowel movements with a loose stool are desirable, e.g., in patients with anal fissures, hemorrhoids, following anal/rectal surgery; during pregnancy; as a secondary medication in the treatment of various kinds of diarrhea and in the treatment of irritable bowel.”,credit mother nature for devising a substance that can treat both constipation and diarrhea. the seeds soak up fluids, adding bulk to the stool and inhibiting diarrhea. the same absorption of fluids softens the stool, and the larger volume helps pass it through the colon. this easier action makes this herb a good choice for those suffering from ,,  , or diverticulitis.  by bulking the stool, the seeds also relieve pain caused by ulcerative  ,. unless you have a desire for sugar, artificial flavors and higher prices, try natural psyllium before turning to one of the name brand products such as metamucil or fiberall, or any number of commercial laxatives.", ,plantago psyllium ovata," Cholesterol, Constipation, Diet/weight Loss",," Anodyne, Antitussive, Appetite Depressant, Astringent, Demulcent, Laxative"," cholesterol, constipation, diet/weight loss,diarrhea,constipation,weight loss,cholesterol,hemorrhoids,inflammatory bowel disease,colitis"
prickly pear ," :, * , * , "," prickly pear was widely used as long as 6,000 years ago by native americans  particularly in northern mexico and arizona areas. ",opuntia ficus indica prickly pear," Diabetes, Diet/weight Loss, South_American",",,  ,Central and South America,North America", Appetite Depressant," diabetes, diet/weight loss, south_american,diabetes,obesity"
prickly ash ,,"the use of prickly ash comes down to us from antiquity, the chinese recorded its use about 1350 in the ",zanthoxylum prickly ash," Nausea, Parasites/worms",",,  "," Anodyne, Digestive, Vermifuge"," nausea, parasites/worms"
red poppy flowers ,"red poppies have some traditional medicinal uses as a , mild sedative and ,, though not nearly  as potent as the related opium poppy, ,. these traditional uses have little or no documentation, so  do not depend on red poppies as a primary therapeutic agent. still the dried flowers brighten any herbal tea mixture, and adding them seems to have a soothing effect. ,","the corn poppy has become a cultural icon to military veterans, and has become associated with wartime remembrance of the bloody battles on the western front in world war i. ",papaver rhoeas red poppy flowers," Cough, Sleep/Insomnia",Middle East," Anodyne, Demulcent, Sedative"," cough, sleep/insomnia"
pomegranate ,"the source of the many health benefits of pomegranates is found inside the  juicy arils, in a small white seed that contains punicic acid. the punicic  acid found in pomegranates is an especially powerful form of cla, which has  been shown to be beneficial in the fight against ,,,, ,  and ,. , ongoing studies of action and the use of pomegranate  seem promising enough to suggest that men who add pomegranate juice to their daily diet may lower their risk of bph, and prostate cancer.,with  all the healthy benefits of pomegranates, it is no wonder that health food  marketers have gotten in trouble   with the fda for making some rather extravagant claims about the benefits  of pomegranate products. , in addition to being  very pricey, these products also contain added sugar, and other ""natural flavors"",  and so are not pure, 100% pomegranate juice. still, with all the fda needs  to be concerning themselves with, you would think the consumption of a healthy  fruit drink would be at the bottom of the list of things to protect the public  from.   there seems to be no downside other than cost in adding  pomegranate juice to your daily diet. ,   pomegranate seed oil is a valued ingredient in ,, and is especially good for dry, devitalized skin. pomegranate    oil aids in moisturizing skin, preventing and reducing the appearance of ,. those    with skin conditions including dry skin, ,, , will benefit from    using pomegranate oil. , for skin may well have extended    benefits beyond it's moisturizing and anti-aging properties. the tannin in    the oil can also help decrease the chances of skin cancer according to some    sources. , ","pomegranates are an ancient food and medicine,",punica granatum pomegranate," Burns, Cancer Prevention, Cardiovascular, Diarrhea, Diet/weight Loss, Facial Care, Immune, Menorrhagia, Nutrition, Parasites/worms, Prostate, Psoriasis, Skin Care, Wrinkles",",,  ,Middle East"," AntiViral, Appetite Depressant, Astringent, Immunostimulant, Skin tonic, Stomachic, Vermifuge"," burns, cancer prevention, cardiovascular, diarrhea, diet/weight loss, facial care, immune, menorrhagia, nutrition, parasites/worms, prostate, psoriasis, skin care, wrinkles,cancer, obesity,diabetes,heart disease,skin
    care oils,wrinkles,eczema,psoriasis"
poke root ,"pokeroot use is rooted in the folklore of the amercian indian and early settlers and is a staple of poor country folk in the south. this does not mean that poke root is a safe herb, it is most certainly not for the amateur herbalist.  use of pokeroot to treat serious conditions such as lymphedema, testicular inflammation, ovarian pain, or as an alterative for,, should be medically supervised. external use of the tincture for skin conditions should be only be attempted by those who are very knowledgeable in the use of herbal medicine. ",,phytolacca americana poke root," Cancer Prevention, Colds, Flu, Psoriasis, Scabies, Sore Throat",North America," Antibacterial, Antirheumatic, Immunostimulant, Purgative, Skin tonic, Vulnerary"," cancer prevention, colds, flu, psoriasis, scabies, sore throat, cancer"
plantain ,,"the american indian used the abundant plant as the chief remedy for the bite of the rattlesnake, and called it ""snakeweed"" after this use.  ",plantago major lanceolata plantain," Burns, Cuts & Wounds, Insect/flea Bites, Sore Throat",",,  "," Anodyne, Astringent, Depurative, Diuretic, Refrigerant, Refrigerant, Styptic, Vulnerary"," burns, cuts & wounds, insect/flea bites, sore throat"
pine ,"pine has a long history of use as a pain reliever in ,, ,. pine needle  oil  is used as a component in cough and , medicines, vaporizer fluids, nasal ,, and analgesic ointments. pine is combined with , and , oils for acute cold and nasal inflammation in germany., in switzerland, mattresses are filled with pine needles for treating ,ailments such as arthritis and,. when added to massage oils or used in baths pine oil is very effective in treating pain and promotes circulation to swollen joints and limbs.,the pinolenic acid contained in pine nut oil can help curb appetite, and is marketed as a , supplement under the trade name pinno thin©","hippocrates used pine to treat pulmonary problems and pliny recommended it for respiratory conditions. the romans used pine nuts for food, and the trees were used for sailing masts.",pinus sylvestris pine," Aromatherapy, Arthritis, Christmas, Circulation, Colds, Congestion, Gout, Herbal Steam, Pain Relief, Rheumatoid_arthritis","Grive, M.,634"," Analgesic, Anodyne, Antibacterial, Appetite Depressant, Aromatic, Depurative, Energize, Mental Clarity, Mood, Refresh"," aromatherapy, arthritis, christmas, circulation, colds, congestion, gout, herbal steam, pain relief, rheumatoid_arthritis,arthritis,aches, pains and sore muscles,cold,decongestants,rheumatic , gout,weight loss"
petitgrain ,, ,citrus brigarade petitgrain oil,,," Anxiety, Calm, Mental Clarity, Vulnerary",
periwinkle ,"the leaves, and seeds of the periwinkle contain vincamine, a precursor to the chemical vinpocetine, which is used medicinally to naturally , in aging minds., vincamine is sold as a chemical extract in supplement form, however herbalists prefer the whole herb be used in either extract or tea form. by using the whole herb you receive the balanced blend of healing chemicals found naturally occurring in the plant. other folk medicine uses include ,, cough medicine, and as a styptic to stop bleeding.","periwinkle has been used in the tradition medicine of many cultures and peoples worldwide including europe, china, india and the pacific and caribbean islands.  ",vinca minor periwinkle," Diarrhea, Hypertension, Memory/Focus, Menorrhagia",",,  ,European"," Antibacterial, Antispasmodic, Carminative, Coagulant/Hemostatic, Depurative, Diuretic, emetic, Sedative"," diarrhea, hypertension, memory/focus, menorrhagia,enhance memory,diabetes"
white peony ,, ,paeonia albiflora white peony root," Chinese, Colds, Cuts & Wounds, Headache/Migraine",Traditional Chinese Medicine," Analgesic, Anodyne, Anti-inflammatory, Antispasmodic, Depurative, Emmenagogue, Febrifuge, Vulnerary"," chinese, colds, cuts & wounds, headache/migraine"
pennyroyal ,,"pennyroyal was in high repute among the ancients. both pliny and dioscorides described its numerous virtues. in northern europe it was also much esteemed, as may be inferred from the frequent references to it in the anglo-saxon and welsh works on medicine.",mentha pulegium pennyroyal," Amenorrhea, Insect Repellent",," Abortifacient, Antioxidant, Aromatic"," amenorrhea, insect repellent"
pau d’arco ," ,  , the mayans and incas of south america regarded pau d’arco as an important healing herb, but the scientific study is still very preliminary; the bottom line is that pau d'arco seems to be more promising for fungal infections than malignant , there is a great deal of practical evidence, however, that pau d’arco can be used with success to treat colds, flu, sore throat, and ,. laboratory evidence suggests that the herb contains compounds that protect against tropical diseases, specifically malaria, schistosomiasis, and tropical fevers. the herb is added to ointments to treat  ,, and taken orally to relieve ,. ","in the portuguese spoken in brazil, pau d'arco translates as ""low tree"". the inner bark  is dried, shredded, and then boiled, making a bitter brownish-colored tea referred to as lapacho or taheebo. pau d'arco is a key ingredient in the tribal medicine in the amazon rainforest. ",tabebuia spp pau d arco," Candida/yeast, Liver",," Antifungal, AntiViral, Hepatic, Tonic"," candida/yeast, liver,cancers.,yeast infections,psoriasis, ulcers"
patchouli ,,"once used to distinguish imports from india patchouli also helped to repel insects from cloth fabrics. popular in the fashions of europe in the mid 1800's, and in counter culture in america's turbulent 1960s. ",pogostemon patchouli patchouli," Aromatherapy, Cellulite, Deodorants/Perfumes, Facial Care, Insect Repellent",," Anodyne, Antidepressant, Antifungal, Aphrodisiac, Aromatic, Astringent, Cicatrisant, Insect repellents, Mood, Sedative"," aromatherapy, cellulite, deodorants/perfumes, facial care, insect repellent"
passion flower ,"herbalists have a high regard for the soothing properties of passionflower and recommend it as a general nerve tonic to treat , the commission e approved its use for , passionflower is used to gently relax the mind/body to prepare for a more restful nights , other uses include , including post herpes nerve pain and shingles. together in an extract, the alkaloids and flavonoids of passionflower are stronger sedatives and relaxants that one isolated chemical, reminding us of the wisdom of using the whole herb, instead of isolated extracts. passionflower is often used in conjunction with other mildly sedative herbs like , and ,.","passion flower leaves were used in native american medicine to heal bruises and cuts. its traditional uses  by the cherokees of the southern allegheny mountains, the houmas of louisiana, and the aztecs of mexico, are well documented and predate its entry into conventional american and european medicine.   it was official in the fourth (1916) and fifth (1926) united states national formulary and removed in 1936. it was also an approved otc sedative and sleep aid up until 1978 (bown, 1995; leung and foster, 1996; nf, 1926)",passiflora incarnata passion flower," Addiction, Alcoholism, Anxiety, Candida/yeast, Herbal Teas, Hypertension, Nerve/Back Pain, Nerve/Back Pain, Sleep/Insomnia, Stop Smoking",North America," Analgesic, Antidepressant, Anxiety, Balance, Calm, Purgative, Sedative"," addiction, alcoholism, anxiety, candida/yeast, herbal teas, hypertension, nerve/back pain, nerve/back pain, sleep/insomnia, stop smoking,nervous stress.,anxiety.,sleep.,neuralgia"
 ," :, * , ,, european var  ", ,pulsatilla nuttalliana pasque flower,,North America," Antibacterial, Antispasmodic, Nervine",
parsley ," parsley is so familiar we often pass it over for  more exotic plant remedies, yet this attractive staple of the herb garden is  a versatile, and an absolutely must have in any well stocked  kitchen.  parsley adds color and aids , of the foods  we eat and acts  to prevent gas and bloating. ,parsley leaves and root are high in iron content and rich in vitamins  a, b, c and trace minerals. its high concentration of boron and fluoride might help against bone thinning and osteoporosis. ,both parsley leaf and root can be used in teas as a diuretic to rid the body  of excess water.  this may explain its folklore reputation for helping  ,  and , ","the variety crispum was grown in very early days, even mentioned by pliny. the dried leaves are also used for that purpose. parsley tea proved useful in the trenches (wwi), where our men got kidney complications, when suffering from dysentery.  ",petroselinum crispum parsley," Culinary/Kitchen, Digestion, Gout, Halitosis, Kidney, Longevity Tonics, Nutrition","European,69"," Antibacterial, Antirheumatic, Aromatic, Carminative, Diuretic, Emmenagogue, Vasodilator"," culinary/kitchen, digestion, gout, halitosis, kidney, longevity tonics, nutrition, medicinal food,digestion,gout,rheumatism."
papaya ,"papaya fruit offers not only the luscious taste but is a rich source of antioxidant nutrients such as carotenes, vitamin c and flavonoids; the b vitamins, folate and pantothenic acid; and the minerals, potassium and magnesium; and fiber. together, these nutrients promote the health of the cardiovascular system and also provide protection against colon cancer.   the fruit is valued for its proteolytic enzymes including papain, which is used like bromelain, a similar enzyme found in pineapple, to treat sports injuries, other causes of trauma, and allergies. the milk like juice from unripe fruit called latex, contains the most concentration of papain, enough some people say to remove freckles.,papaya leaf is used in herbal medicine to remove intestinal worms. papaya leaf has less of the protein-dissolving papain than the fruit, so it is less likely to ""dissolve"" the worms, but it contains tannins that the fruit does not. these tannins protect the intestine from reinfection by ""tanning"" proteins in the lining of the intestinal wall so that worms cannot attach themselves. ", ,carica papaya," Athletes Foot/Ringworm, Circulation, IBS, Parasites/worms, South_American",Central and South America," Antioxidant, Antiparasite, Breath, Digestive, Diuretic, Vermifuge"," athletes foot/ringworm, circulation, ibs, parasites/worms, south_american"
palmarosa ,,palmarosa also called rosha grass and indian geranium (cymbopogon martinii) is another species used in the perfume industry. it is a perennial clumping grass which grows to 150 cm with finer leaves and has a smaller bulbous base than lemongrass. the leaves and flower tops contain a sweet smelling oil which is used for the production of geraniol. it is also distilled into palmarosa oil and used in aromatherapy for its calming effect to help relieve nervous tension and stress.,cymbopogon matrini palmarosa oil, Facial Care,,, facial care
oregon grape ,"oregon grape is not botanically related to the endangered ,, but for many uses oregon grape serves as an excellent alternative; they both contain the immune-stimulating, infection-fighting, antiseptic constituent berberine. herbs that contain berberine are scientifically proven to protect against bacteria, viruses, and fungi., herbalists use oregon grape root in the treatment of bacterial ,, intestinal  ,, and ,.  , it has a sedative effect on the smooth muscles lining the digestive tract and can relieve stomach cramps and abdominal pain. ,orgegon grape can be used in skin washes to deter the over production of skin cells that occurs in placque ,. one of the advantages to using preparations of the whole herb, as opposed to using products that only contain berberine extracts is that oregon grape root contains tannins that ease inflammation, irritation, and itching of the skin.", ,mahonia aquifolium oregon grape root," Detoxification, Diarrhea, Parasites/worms, Psoriasis, Sinus, Sore Throat",",,  ,North America"," Anti-inflammatory, Antibacterial, Antioxidant, Cholagogue, Hepatic, Laxative"," detoxification, diarrhea, parasites/worms, psoriasis, sinus, sore throat,diarrhea,parasites,eye infections,psoriasis"
oregano ,"when americans think of oregano, we think first    and foremost of pizza sauce. many would be surprised to learn that oregano    is ranked first among the culinary herbs in ,. many of the    medicinal properties of oregano can be attributed to the anti-inflammatory,    antibacterial and antioxidantcompounds it contains, including carvacrol, thymol and rosmarinic acid. these    compounds have shown strong indications both in practice and in clinical    studies that they offer protection against ,, , and stroke., there    is evidence to suggest that this may be due in part to the inhibition of    cox-2 inflammation. , ,oregano, along with other , may offer a way to help manage ,. these herbs contain several flavonoids that inhibit dpp-iv and should be investigated further regarding their potential in diabetes management. ","the name origanum is derived from two greek words, oros (mountain) and ganos (joy), in allusion to the gay appearance these plants give to the hillsides on which they grow.marjoram has a very ancient medical reputation. the greeks used it extensively, both externally and for fomentations. it was a remedy for narcotic poisons, convulsions and dropsy (edema). ",origanum vulgare oregano," Culinary/Kitchen, Cuts & Wounds, Diabetes, Facial Care, Headache/Migraine, Lupus",European," Anodyne, Antibacterial, Antioxidant, Antispasmodic, AntiViral, Aromatic, Carminative, COX-2 Inhibitor, Diaphoretic, EFA, Emmenagogue, Nervine, Rubefacient, Stimulant"," culinary/kitchen, cuts & wounds, diabetes, facial care, headache/migraine, lupus,cancers,heart disease,culinary herbs ,diabetes"
